input_filename	batch_id	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	pore_type	experiment_id	sample_id	end_reason
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	cd1bb9f9-ca8d-47bf-a65b-fe7b78586938	cd1bb9f9-ca8d-47bf-a65b-fe7b78586938	66b2eea5-f887-4690-bd76-97fd9c4e416b	1843	1	3952	1890.707031	6.372800	TRUE	1890.845825	5195	6.234000	2496	36.643921	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	8ee4cbfd-cb47-4411-b633-c1949adef07a	8ee4cbfd-cb47-4411-b633-c1949adef07a	66b2eea5-f887-4690-bd76-97fd9c4e416b	73	4	17928	1820.128052	29.020399	TRUE	1820.227295	24101	28.921200	11616	24.002817	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	d39a23d5-94e6-4f69-ad27-519b93b78b92	d39a23d5-94e6-4f69-ad27-519b93b78b92	66b2eea5-f887-4690-bd76-97fd9c4e416b	2865	1	36930	1813.667969	63.131599	TRUE	1814.017944	52318	62.781601	21812	25.636047	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	f65a7951-2f8d-41cf-9d28-5ab65e5c86bc	f65a7951-2f8d-41cf-9d28-5ab65e5c86bc	66b2eea5-f887-4690-bd76-97fd9c4e416b	1303	4	4249	1873.686035	7.055600	TRUE	1873.810425	5776	6.931200	2713	36.938015	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	a7aba2ab-205c-4ba7-845d-991c1deac89f	a7aba2ab-205c-4ba7-845d-991c1deac89f	66b2eea5-f887-4690-bd76-97fd9c4e416b	2763	3	3850	1837.540039	6.239000	TRUE	1837.541992	5197	6.237000	2439	10.257281	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	05be4b03-762a-4ad1-842e-d05cc5262847	05be4b03-762a-4ad1-842e-d05cc5262847	66b2eea5-f887-4690-bd76-97fd9c4e416b	316	1	8249	1870.791992	13.130000	TRUE	1870.885132	10864	13.036800	4865	30.338844	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	ede29ce7-a6c6-43d7-9581-240653fb1297	ede29ce7-a6c6-43d7-9581-240653fb1297	66b2eea5-f887-4690-bd76-97fd9c4e416b	2453	3	64841	1826.337036	93.781998	TRUE	1826.420654	78082	93.698402	49433	19.367027	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	bbc9371c-845d-4663-af2e-35f01409e9b5	bbc9371c-845d-4663-af2e-35f01409e9b5	66b2eea5-f887-4690-bd76-97fd9c4e416b	2722	4	13193	1880.194946	20.875999	TRUE	1880.295288	17313	20.775600	8537	32.616142	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	bcb0a655-f070-45bc-a2b9-fdfd4484581f	bcb0a655-f070-45bc-a2b9-fdfd4484581f	66b2eea5-f887-4690-bd76-97fd9c4e416b	2265	3	10701	1913.729004	17.891600	TRUE	1913.841431	14816	17.779200	6312	25.601429	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	70fc1c9b-2760-4c2d-9650-314c62b74726	70fc1c9b-2760-4c2d-9650-314c62b74726	66b2eea5-f887-4690-bd76-97fd9c4e416b	531	2	11428	1915.891968	16.983200	TRUE	1915.958740	14097	16.916401	7725	22.892435	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
