drug	gene	risk_association	paired_tstat	p
AM095	SCG5	Low_risk	-0.853434243	0.25254949
AM095	SDHC	Low_risk	-0.433209979	0.570285943
AM095	SELENBP1	Low_risk	0.579101983	0.456908618
AM095	SFRS2	Low_risk	-1.500915321	0.004999
AM095	SLC37A4	Low_risk	-0.540060739	0.294941012
AM095	SLC4A4	Low_risk	-0.603417605	0.394521096
AM095	SNX10	Low_risk	0.041706879	0.955608878
AM095	SREBF2	Low_risk	0.083834303	0.886822635
AM095	SSFA2	Low_risk	0.149967177	0.819836033
AM095	SUCLG1	Low_risk	0.885093214	0.207558488
AM095	TAF1C	Low_risk	1.159807264	0.0069986
AM095	TDO2	Low_risk	-0.680975048	0.264147171
AM095	TIMM8A	Low_risk	-0.728549251	0.306538692
AM095	TM7SF2	Low_risk	0.24890129	0.609478104
AM095	TMEM97	Low_risk	1.204315752	0.027594481
AM095	TRAF6	Low_risk	-0.281234396	0.648270346
AM095	TTR	Low_risk	-0.227930164	0.679864027
AM095	TXN2	Low_risk	1.127378128	0.082983403
AM095	USP14	Low_risk	0.143131341	0.835632873
AM095	VPS41	Low_risk	0.576024025	0.364727055
AM095	WDR23	Low_risk	-0.983204168	0.065386923
AM095	XPA	Low_risk	0.0281689	0.960207958
AM095	ZBTB17	Low_risk	0.205190159	0.769646071
AM095	ZER1	Low_risk	0.054197992	0.935812837
AM095	ZNF185	Low_risk	1.897559241	0.00719856
Bortezomib	ABLIM1	High_risk	-2.689822856	0.015384615
Bortezomib	ACTR2	High_risk	-0.812688245	0.415384615
Bortezomib	ADD3	High_risk	-1.514952563	0.076923077
Bortezomib	AEBP1	High_risk	-1.075788851	0.184615385
Bortezomib	AKAP13	High_risk	0.980121052	0.323076923
Bortezomib	ANXA1	High_risk	-0.328304074	0.507692308
Bortezomib	ANXA3	High_risk	0.53046633	0.6
Bortezomib	AP1B1	High_risk	-1.455341498	0.015384615
Bortezomib	ATP4B	High_risk	0.035197765	0.969230769
Bortezomib	BCL2	High_risk	-3.140372099	0.015384615
Bortezomib	CCDC6	High_risk	0.642338326	0.4
Bortezomib	CCL19	High_risk	0.890728274	0.030769231
Bortezomib	CCL21	High_risk	-2.510630455	0.015384615
Bortezomib	CD48	High_risk	-1.110928766	0.415384615
Bortezomib	CHERP	High_risk	-0.784756291	0.323076923
Bortezomib	CHSY1	High_risk	-1.183273973	0.323076923
Bortezomib	COL16A1	High_risk	1.760886926	0.123076923
Bortezomib	COL4A1	High_risk	-1.077014388	0.015384615
Bortezomib	COL6A3	High_risk	0.987555435	0.030769231
Bortezomib	CPA3	High_risk	-0.718146312	0.030769231
Bortezomib	CTNND2	High_risk	1.900100668	0.030769231
Bortezomib	CXCR4	High_risk	-0.998606736	0.369230769
Bortezomib	DAB2	High_risk	1.107996748	0.430769231
Bortezomib	DDR1	High_risk	-1.059636694	0.107692308
Bortezomib	DUSP5	High_risk	1.086925164	0.261538462
Bortezomib	EDG4	High_risk	1.266350453	0.123076923
Bortezomib	EGF	High_risk	-0.185401532	0.6
Bortezomib	ELOVL2	High_risk	-1.301824188	0.015384615
Bortezomib	EMP2	High_risk	0.328661228	0.584615385
Bortezomib	EPHA4	High_risk	-0.814636836	0.061538462
Bortezomib	EPM2AIP1	High_risk	-0.384863686	0.538461538
Bortezomib	FBN1	High_risk	-1.037705595	0.507692308
